CCSUID,Centroid_X,Centroid_Y
1306014,8253910.010644313,1536460.1962299577
1307001,8304835.304666234,1556282.845851475
1307004,8310895.65046518,1577023.8950304808
1307005,8276299.978734649,1568229.472433602
1307008,8291634.480900661,1550318.7477902237
1307013,8277202.7154502645,1544138.1159337517
1307019,8248023.799249911,1552583.8512559999
1307024,8228049.052079222,1533242.0397414756
1308001,8253051.979622995,1575917.4010443334
1308004,8241406.468122436,1588916.0203892426
1308014,8213555.710334697,1582009.6186807016
1308016,8228234.739234606,1600724.393233996
1309004,8184224.27615174,1616416.9392601387
1309026,8113903.90372298,1586909.1559090423
1309031,8158435.8172435565,1620109.4988896588
1309036,8171902.651441618,1654876.5806700243
1310001,8126978.510794457,1443686.3781221563
1310004,8085578.776989104,1433485.6893870253
1310016,8102570.459236478,1444183.6502505955
1310018,8118956.848735815,1460942.6400746095
1310021,8097214.416325053,1467131.8489109897
1310024,8075720.611929237,1468913.9300226285
1310026,8092358.108007355,1480783.8035361385
1310028,8093565.659328688,1500884.5139917142
1310036,8097329.296351424,1533659.1822698305
1311001,8045515.218286786,1456598.4741248009
1311004,8055149.146186296,1459269.4685298577
1311008,8061666.599532611,1469602.6125540172
1311011,8061192.621483091,1493640.6114436828
1311014,8045952.256320326,1476548.3382877398
1311018,8035336.391540607,1485231.6847844743
1311024,8044105.1296061035,1494278.8338849668
1311026,8059524.716389277,1514338.7090386113
1311028,8053553.325331458,1525818.0529360936
1311031,8029142.619725354,1501426.3786712233
1312004,8044184.863830175,1562108.585772308
1312014,8019883.367904225,1571848.3406500556
1312021,8005466.855138827,1589068.0356580538
1313027,7949169.133456452,1575565.332708988
1314001,8073324.1557593625,1671393.4309759403
1314008,8033823.66818867,1648788.5400935132
1315012,8118699.557740644,1665160.0760554885
1315016,8148619.947170814,1698062.0904973978
1315019,8154424.688243094,1675151.388465682
1315026,8171294.229170085,1710584.0517188103
1315029,8187683.670841783,1732338.243217033
2402902,8133782.301857295,1796739.1107691661
2403904,8092651.311704898,1824271.3295999642
2404047,8046429.6040443545,1807349.546064902
2405010,8127214.647143142,1741445.8104816722
2405045,8119553.56351725,1729224.2454182978
2405060,8103562.192330453,1733405.1247587488
2405070,8083679.75141576,1734645.5922765094
2406013,8060981.594949849,1717675.1541957022
2406904,7983446.722344752,1667512.035541717
2407018,8013501.496369502,1731131.5939064834
2407025,7973712.825169545,1692961.3086502252
2407047,7965713.361459718,1714201.2508253835
2407080,7954461.795840854,1714637.2099180017
2407085,7939328.751594536,1720549.5842109844
2407902,8000256.799040012,1691006.0773662103
2407912,7948385.21219742,1696251.2433874425
2408015,7967600.918203102,1768109.6894311476
2408053,7949591.211407772,1746647.4088032318
2409020,7932812.904045193,1697017.8443515722
2409085,7909523.476402955,1704307.241505612
2409092,7902143.573656245,1695646.1789007531
2410005,7900946.979301963,1648131.3281794353
2410043,7895894.978704017,1677185.8497029808
2410070,7875522.454648858,1655902.9359520026
2410902,7920470.883530133,1655824.3521087356
2411020,7888047.460056026,1628022.3220429986
2411045,7862104.974072162,1629893.1966824115
2412005,7884123.821687474,1609809.6442132785
